collocate,raw_frequency,MI
strong,1,1.2680713127754424
of,55,0.6123028514973299
i,429,3.0474511327512497
that,38,0.9774957977041207
as,9,-0.019564766457576134
and,88,0.8947263477840122
gratitude,1,2.9925450063907872
all,20,1.4867715179273653
with,12,0.2588825447749151
but,12,0.49945221870680007
an,2,-0.44915333060973833
did,3,0.4841258036544838
being,11,2.5633275686680075
intercourse,1,3.786263093725995
him,75,2.517257010129405
a,23,-0.05342374325055069
affectation,1,4.902087511275226
such,5,1.3099828506554807
even,3,1.0645785433401562
like,3,0.31474897956072223
never,1,-0.5064379772780736
any,9,1.7077226025422343
sulky,1,4.60662329838139
is,11,0.5625463830942635
the,103,0.6196300879349692
deadliest,1,6.6332223586868455
less,1,1.0963513763650368
must,10,1.924752602860951
interlarding,1,9.466435702743063
to,156,1.6338645955429767
we,12,1.3688065438144905
me,60,2.379628093959682
clara,1,3.265926528700372
you,114,2.255746828268859
vaughan,1,4.279049896902307
steel,1,3.4238028690606805
do,32,2.498349962852627
singing,1,2.878885687918266
crises,1,6.3753932493847465
women,9,3.165853802463234
it,67,1.606999497545824
letting,1,3.3201064450741646
asking,2,3.2030374401514385
beating,1,3.247835583051333
passengers,1,4.284652152450977
should,34,3.015965280598886
than,5,1.0023901555377166
she,9,-0.1976589341932927
these,3,1.1747221224385822
shopping,1,5.637794306253967
would,14,1.3243100567074222
this,15,1.2797300255119093
not,25,1.1830628573051498
could,7,0.9732425066890377
t,17,1.581792752114379
for,10,0.14599506548991897
tyrannous,1,6.901486345281525
against,1,0.5268547360227525
people,13,2.880051868808448
them,26,2.332863525946979
they,24,1.7996089639198962
firms,1,6.901486345281525
one,7,0.6991288036224373
courage,1,2.4435676166604203
who,7,0.9322449349582534
always,4,1.663919810437133
frippery,1,7.068540429944692
sudden,1,1.8186496573021291
between,1,0.5886353088604871
fighting,1,3.1730164238965806
natural,1,1.9226328352415525
brag,1,5.969928141276582
possibly,1,2.6366419652306368
looking,1,0.452231876594562
gentlemen,1,1.888801870140334
exactly,1,2.1625924774653575
ladies,1,1.62769814314378
anything,5,2.298009900555994
turncoats,1,9.466435702743063
might,1,-0.2989385476634317
lord,1,0.5281665557045128
springhaven,1,4.372685501936299
its,4,1.3868176733532225
myself,14,3.1723564885462916
ever,3,1.232401495051021
or,14,1.498437781934363
xxv,1,5.35556183856975
xxvii,1,5.459102517510591
pianoforte,1,6.470703429189071
everybody,3,3.3534912580973706
us,7,1.7465445853927886
john,1,1.430509332851271
profoundly,1,4.279049896902307
black,1,0.9627331015093238
he,12,-0.283011580537003
her,45,1.3070355404073188
craven,1,4.251499945134077
fresh,2,2.7312496891122016
grown,1,2.41112285940331
may,6,1.746861713483481
going,4,1.7489731772895534
overcomes,1,7.520525553687748
nor,4,2.2652648194613834
disgust,1,3.7593254379941863
haughty,1,4.091157295058897
most,1,0.23580262749911682
concealing,1,4.933836209589806
cannot,1,1.1049610863262451
whilst,1,2.8802640478883874
demon,1,4.576086574521308
now,1,-0.8935585539487445
almost,3,1.7662914085513304
indeed,1,0.6606108898394554
shall,13,2.502590957109881
more,4,0.5262977333380151
generates,1,8.773288522183117
louts,1,7.674676233515007
my,8,0.25702075884338005
both,1,0.7113285811091649
silent,1,1.5777261785610477
ugliness,1,5.162370609538892
neither,1,1.5796027037880052
let,2,0.8762708988710018
in,13,-0.2734735358162468
bad,1,1.4772142939277857
fair,1,1.5040200226219982
pride,1,2.177508008221805
folks,1,2.9971853859472897
ugly,1,3.006531248365527
so,9,0.710313103747583
were,1,-1.3168445586270203
mask,1,4.1581680053418575
secretly,2,4.400681109425727
england,1,1.6352154881387695
neil,1,5.855517790098838
brayne,1,6.099139872756588
his,7,-0.5145021891926904
rights,1,3.5502336401356267
wrongs,1,4.6957510782773975
philosophers,1,4.88146822407249
life,3,1.0008867444791631
was,6,-0.8830669154227763
after,2,0.3851794841784167
organised,1,6.288381872395116
can,2,0.1385789973390403
everything,3,2.3027470496237243
unreasoning,1,6.000699799943336
your,5,0.6721563780884471
contempt,2,3.709112461158831
abhorrence,1,5.682246068824801
brothers,1,3.343942893228676
through,2,0.83395146699209
revenge,2,4.342471723339803
from,4,-0.008842542204308388
bloodthirsty,1,6.330941486813912
linda,1,4.977799333010922
absolutely,1,2.7366116322535867
lieutenant,1,3.2740732132681902
briar,1,4.29595170770491
perforce,1,5.035618903899748
himself,2,0.44968007983954456
love,1,0.1385789973390403
despise,1,3.817461464581856
humanity,1,3.6142332229685876
mavis,1,4.324772146240402
goodness,1,3.1656499080798177
yes,2,0.9429622733696741
here,1,-0.21390829847885637
present,1,1.114353031390425
has,1,-0.4512505691928789
scenes,2,4.284652152450977
been,1,-1.134240851179343
instead,1,2.005370188388779
other,1,-0.3094457251879201
gone,1,0.6691894660395348
which,3,-0.3563478123781033
violent,2,3.838814589052425
isna,1,6.1705988367387326
woolen,1,7.163850609749017
each,4,2.222922728077581
secrecy,1,4.3073804035285335
stolen,1,3.989972150811551
teaching,1,3.849664605076491
fellows,1,2.780574755674703
are,1,-0.940943488956127
english,1,1.4881247328753404
having,2,1.3605245047565537
harold,1,3.0846196853369636
d,2,1.5329973151155731
their,4,0.6462531948078963
misers,1,8.080141341623172
florence,2,3.9000014192380843
italy,2,4.0132536256341105
plans,1,3.201134490005352
lines,1,2.5657050386978892
london,2,1.712383063707305
henry,1,2.124951850379901
blinding,1,5.33930131769797
said,3,-0.5776395381027127
clergymen,1,5.372091140520961
those,1,0.18517099243018068
seeings,1,9.466435702743063
really,2,1.5860093584506623
fear,1,1.3554078645493821
simply,1,2.1366860137015498
god,4,2.313188468782953
when,4,0.22244297680503586
leaving,1,2.0239429799486213
sympathy,1,2.515620934300478
tyranny,1,4.6222486162844705
beyond,1,1.5702550941275708
passion,1,2.0566937486621386
men,5,1.6698019994971072
sylvia,1,2.3331397478469937
thee,7,3.0166425579698477
every,2,1.049173349951874
old,1,-0.4383010691934981
stifling,1,5.35556183856975
ifs,1,7.2692111254068426
em,3,3.076195035677712
consequences,1,3.5971387896092875
throwing,1,3.2320249770246905
red,1,1.2666967421122757
words,1,0.6019716474633862
nearly,1,1.9770236192343429
does,1,0.9442549698157855
worse,2,2.620024054001977
ll,5,1.851531723565166
uncertainty,1,4.410189897394754
beautiful,1,1.3886781390061425
strangers,1,3.3706111403108374
parsimony,1,6.827378373127804
zikali,1,4.654251347370645
lousta,1,6.470703429189071
because,1,0.37476626048455786
hellish,1,6.288381872395116
thou,2,1.6212154566553634
night,1,0.16716912157247776
caves,1,4.765955336950646
ye,3,2.317042289810551
gothic,1,5.122630280889378
convention,1,5.682246068824801
christianity,1,5.012088406489554
taking,2,2.1781913017229377
person,1,1.3036343492509883
needlework,1,5.459102517510591
en,1,3.6404355953626117
ee,1,4.114577569266996
thy,1,1.6670923045271415
only,1,-0.49319586041110586
well,1,-0.5191386207911755
things,1,0.27742111748163184
